Domain,Experience_Years,Projects_Completed,Avg_Rating,Retention_Rate,Premium_Certified,Portfolio_Pieces_Count,Learning_Hours_Per_Week,Is_New,Hourly_Rate_USD
Web Development,0.32,4,0,0,0,5,19,1,32.24
Digital Marketing,0.24,0,0,0,1,1,13,1,31.05
Web Development,0.28,2,0,0,0,2,14,1,24.32
Digital Marketing,2.41,62,3.16,73.51,0,0,2,0,64.28
Content Writing,8.1,161,4.84,89.68,1,0,0,0,135.78
Graphic Design,8.87,100,4.44,62.71,1,0,2,0,122.15
Web Development,3.83,39,3.64,69.71,0,0,0,0,56.53
Content Writing,5.71,189,3.87,72.04,1,0,2,0,137.87
Content Writing,0.11,4,0,0,1,3,5,1,19.42
Web Development,8.06,42,3.01,93.7,0,0,2,0,87.12
Digital Marketing,3.05,99,3.97,64.39,0,0,0,0,77.35
Digital Marketing,0.36,5,0,0,1,1,5,1,31.3
Web Development,9.41,100,4.33,64.24,0,0,0,0,114.62
Web Development,2.83,29,3.28,76.36,0,0,2,0,66.02
Web Development,0.16,3,0,0,1,5,5,1,34.28
Digital Marketing,4.23,136,3.39,71.85,1,0,2,0,110.71
Web Development,5.46,8,4.25,78.97,0,0,0,0,58.38
Content Writing,2.81,199,3.63,59.62,0,0,0,0,116.73
Data Analysis,0.42,0,0,0,0,2,19,1,14
Content Writing,6.33,192,3.61,66.85,0,0,2,0,123.28
Digital Marketing,4.07,28,3.51,53.36,1,0,2,0,63.1
Digital Marketing,0.29,5,0,0,0,3,18,1,25.7
Data Analysis,1.23,41,4.65,55.27,0,0,5,0,65.94
Digital Marketing,2.01,75,4.25,81.8,0,0,0,0,71.1
Graphic Design,3.51,108,4.25,91.29,0,0,2,0,92.53
Data Analysis,6.03,66,4.77,78.63,1,0,0,0,92.13
Content Writing,3.06,51,4.04,52.71,1,0,0,0,65.28
Content Writing,3.77,41,3.07,96.06,0,0,2,0,70.04
Data Analysis,0.93,7,4.98,62.33,1,0,2,0,54.17
Graphic Design,0.27,3,0,0,0,3,5,1,12.25
Web Development,0.13,3,0,0,0,5,17,1,27.09
Data Analysis,2.75,42,3.77,70.72,0,0,0,0,61.46
Data Analysis,6.22,11,3.97,85.25,0,0,2,0,65.02
Data Analysis,0.29,0,0,0,0,3,15,1,21.92
Graphic Design,0.38,1,0,0,0,0,13,1,20.3
Content Writing,0.18,2,0,0,0,3,15,1,25.41
Content Writing,6.95,76,4.69,53.78,0,0,0,0,91.34
Web Development,7.42,165,3.84,72.1,1,0,2,0,134.25
Data Analysis,0.24,2,0,0,0,2,12,1,15.3
Data Analysis,7.17,134,4.07,62.42,0,0,0,0,100.73
Graphic Design,9.57,79,4.22,63.13,0,0,0,0,104.05
Web Development,1.47,99,3.45,91.27,0,0,2,0,66.28
Graphic Design,8.72,193,4.25,64.59,1,0,0,0,151.07
Digital Marketing,9.89,127,4.63,76.74,0,0,2,0,131.37
Data Analysis,8.11,77,4.31,86.73,1,0,0,0,112.12
Graphic Design,9,169,4.07,55.97,0,0,2,0,123.79
Web Development,8.48,46,3.9,85.32,1,0,0,0,94.26
Data Analysis,0.25,2,0,0,0,3,3,1,14.3
Content Writing,0.2,0,0,0,0,3,6,1,12.8
Graphic Design,6.49,171,3.22,64.68,1,0,0,0,119
Graphic Design,8.72,119,4.06,82.68,1,0,5,0,132.4
Web Development,6.2,17,3.13,52.2,0,0,2,0,55.17
Data Analysis,0.66,62,3.82,65.21,1,0,5,0,70.5
Graphic Design,7.82,175,3.52,98.44,1,0,2,0,138.45
Digital Marketing,0.27,5,0,0,0,4,10,1,28.12
Content Writing,1.39,71,3.65,96.03,0,0,2,0,60.86
Digital Marketing,7.97,155,4.71,72.32,0,0,2,0,118.11
Graphic Design,5.83,114,3.94,69.44,0,0,0,0,95.06
Graphic Design,4.1,27,4.82,71.23,1,0,0,0,71.97
Content Writing,5.77,97,4.46,53.75,1,0,0,0,89.65
Data Analysis,0.8,127,4.92,67.63,0,0,0,0,74.25
Digital Marketing,1.84,180,3.34,51.55,0,0,2,0,91.78
Data Analysis,8.91,79,3.6,55.48,1,0,0,0,105.83
Data Analysis,9.76,13,4.29,71.51,0,0,0,0,86.95
Content Writing,0.3,0,0,0,0,5,16,1,33.24
Graphic Design,0.26,5,0,0,0,9,9,1,31.98
Content Writing,0.62,184,3.95,70.72,0,0,5,0,89.91
Graphic Design,0.22,2,0,0,1,4,20,1,32.81
Web Development,0.99,65,3.27,67.95,1,0,2,0,64.62
Web Development,8.46,11,3.83,52.13,0,0,0,0,74.41
Digital Marketing,5.65,157,3.65,71.41,0,0,5,0,110.75
Graphic Design,5.41,66,4.6,77.78,1,0,2,0,88.46
Web Development,4,196,4.15,70.62,1,0,0,0,131.14
Data Analysis,1.26,55,4.84,72.83,1,0,2,0,62.92
Graphic Design,8.74,43,3.79,86.4,1,0,5,0,104.56
Content Writing,8.26,18,4.8,98.99,0,0,5,0,90.89
Graphic Design,0.25,2,0,0,0,3,5,1,18.6
Data Analysis,2.84,152,3.42,73.33,1,0,0,0,100.34
Content Writing,0.23,2,0,0,0,4,12,1,19.65
Graphic Design,9.56,197,3.3,53.29,1,0,0,0,147.48
Digital Marketing,5.59,38,4.37,92.54,1,0,0,0,80.86
Content Writing,1.71,123,3.2,64.54,1,0,0,0,85.45
Digital Marketing,8.9,166,4.4,56.4,1,0,0,0,137.97
Content Writing,0.45,3,0,0,0,1,3,1,10.58
Digital Marketing,8.53,46,4.67,98.87,0,0,0,0,101.16
Graphic Design,0.45,2,0,0,0,2,18,1,41.29
Content Writing,4.48,39,3.92,85.08,0,0,5,0,79.66
Graphic Design,4.48,87,4.39,62.67,1,0,0,0,88.62
Web Development,1.94,98,3.24,61.56,1,0,0,0,75.28
Digital Marketing,2.35,119,3.55,51.54,1,0,0,0,79.93
Web Development,9.7,74,4.77,92.33,1,0,2,0,120.41
Graphic Design,4.91,187,3.47,75.73,1,0,0,0,121.76
Web Development,5.1,173,3.73,58.13,0,0,5,0,111.55
Data Analysis,5.49,117,4.51,72.05,1,0,2,0,100.87
Digital Marketing,8.29,44,4.09,80.6,1,0,5,0,94.96
Digital Marketing,5.23,152,3.59,96.59,0,0,2,0,106.48
Content Writing,0.21,1,0,0,0,1,10,1,4.42
Content Writing,1.78,143,4.05,62.64,1,0,2,0,93.2
Graphic Design,0.29,0,0,0,0,5,6,1,22.95
Data Analysis,0.55,7,4.52,92.44,1,0,5,0,50.28
Data Analysis,3.32,141,4.48,70.04,0,0,0,0,93.96
Data Analysis,0.22,5,0,0,0,2,3,1,16.74
Data Analysis,6.93,200,3.46,84.85,1,0,2,0,153.57
Data Analysis,8.98,141,3.92,75.31,1,0,5,0,135.46
Graphic Design,4.98,149,3.6,62.71,0,0,5,0,104.84
Data Analysis,0.24,0,0,0,0,4,9,1,15.6
Digital Marketing,2.65,17,4.62,85.44,0,0,0,0,52.78
Graphic Design,0.22,3,0,0,0,3,18,1,26.4
Content Writing,3.42,58,3.35,59.04,1,0,0,0,66.12
Content Writing,6.97,174,3.15,86.85,1,0,0,0,133.46
Data Analysis,6.98,109,4.37,52.89,0,0,2,0,94.99
Graphic Design,1.58,45,4.26,93.48,0,0,2,0,55.22
Web Development,2.24,101,3.66,91.55,0,0,2,0,77.76
Graphic Design,0.61,6,4.92,88.76,1,0,0,0,53.01
Content Writing,0.9,108,3.29,80.61,0,0,5,0,74.1
Content Writing,7.41,108,3.39,86.85,0,0,0,0,95.24
Content Writing,6.21,17,3.31,78.71,0,0,2,0,68.96
Content Writing,6.04,41,3.1,54.26,1,0,0,0,75
Digital Marketing,6.27,192,3.99,71.03,1,0,0,0,129.96
Digital Marketing,0.32,4,0,0,1,2,10,1,27.74
Graphic Design,4.79,158,4.67,51.74,1,0,2,0,111.53
Digital Marketing,3.4,94,3.87,63.24,1,0,2,0,88.72
Graphic Design,8.04,49,4.77,73.5,1,0,0,0,102.47
Content Writing,6.15,11,3.65,91.96,0,0,0,0,71.97
Graphic Design,0.48,1,0,0,1,3,16,1,40.85
Data Analysis,1.49,80,4.54,55.79,0,0,0,0,69.36
Content Writing,3.05,92,3.66,74.68,1,0,0,0,81.03
Graphic Design,5.92,177,3.96,58.8,1,0,0,0,121.33
Web Development,0.3,2,0,0,0,3,5,1,10.48
Graphic Design,0.37,4,0,0,0,2,5,1,10.35
Web Development,0.96,35,4.39,53.8,1,0,5,0,60.14
Web Development,8.82,93,4.52,98.35,1,0,2,0,118.53
Digital Marketing,3.23,135,3.33,75.7,0,0,0,0,92.91
Content Writing,9.22,181,3.19,81.29,1,0,2,0,139.92
Data Analysis,7.27,154,4.16,74.46,1,0,2,0,135.31
Digital Marketing,0.69,193,3.83,62.52,0,0,0,0,89.11
Digital Marketing,8.6,190,4.54,50.94,1,0,5,0,146.91
Data Analysis,2.45,35,3.74,51.46,1,0,0,0,59.23
Digital Marketing,6.46,8,4.51,81.31,1,0,2,0,76.15
Content Writing,0.63,109,3.38,67.85,0,0,0,0,61.55
Content Writing,0.15,0,0,0,1,0,3,1,19.16
Graphic Design,2.83,124,3.65,81.11,0,0,0,0,80.08
Content Writing,0.62,90,4.75,64.03,1,0,0,0,77.07
Web Development,1.57,196,4.5,57.47,1,0,0,0,96.61
Web Development,3.58,183,3.05,76.72,0,0,0,0,105.07
Web Development,0.25,5,0,0,0,0,11,1,13.1
Graphic Design,5.92,70,4.85,61.42,1,0,2,0,92.9
Content Writing,0.35,1,0,0,0,1,6,1,20.77
Digital Marketing,8.05,195,4.23,92.1,1,0,0,0,150.4
Content Writing,1.06,85,3.62,69.43,1,0,2,0,69.44
Data Analysis,6.24,171,4.31,74.97,0,0,0,0,116.57
Digital Marketing,9.74,74,4.37,96.47,1,0,2,0,116.03
Data Analysis,4.07,102,3.87,66.45,0,0,5,0,85.73
Content Writing,9.21,173,3.88,98.58,1,0,2,0,148.17
Digital Marketing,3.05,84,3.01,69.53,0,0,2,0,76.8
Web Development,4.65,155,3.41,94.95,1,0,0,0,117.94
Content Writing,0.36,0,0,0,0,2,14,1,28.88
Web Development,0.87,33,4.96,80.56,1,0,0,0,51.28
Digital Marketing,9.05,171,3.67,75.28,0,0,2,0,128.91
Data Analysis,4.79,109,3.55,80.4,0,0,0,0,86.86
Content Writing,9.07,116,4.81,84.33,1,0,0,0,120.68
Graphic Design,1.6,174,4.37,59.33,0,0,5,0,95.05
Graphic Design,1.05,20,4.95,85.43,0,0,0,0,46.78
Content Writing,0.45,1,0,0,1,3,3,1,32.8
Web Development,9.82,137,3.33,51.86,1,0,2,0,132.7
Graphic Design,6.04,120,4.65,65.25,1,0,0,0,112.24
Graphic Design,5.74,34,3.4,59.61,0,0,2,0,62.66
Web Development,7.95,126,3.06,72.14,1,0,0,0,121.25
Graphic Design,2.62,149,3.08,77.31,0,0,0,0,82.64
Digital Marketing,9.39,114,3.17,51.05,1,0,2,0,125.64
Digital Marketing,0.87,128,4.68,96.26,0,0,0,0,84.18
Web Development,3.82,81,3.28,90.64,1,0,0,0,90.66
Digital Marketing,7.73,66,4.14,83.62,1,0,5,0,116.59
Data Analysis,0.35,5,0,0,0,5,8,1,19.18
Digital Marketing,0.16,2,0,0,0,1,12,1,17.54
Graphic Design,1.43,155,4.92,51.79,0,0,0,0,85.28
Digital Marketing,2.32,171,4.8,58.68,1,0,5,0,111.88
Content Writing,6.19,78,4.63,81.11,0,0,5,0,87.84
Digital Marketing,6.2,23,3.65,81.58,0,0,5,0,73.11
Content Writing,6.12,178,4.55,65.57,0,0,2,0,121.84
Web Development,6.12,179,3.13,97.69,1,0,0,0,124.75
Graphic Design,8.53,180,4.69,59.85,1,0,2,0,143.75
Web Development,7.39,6,4.84,93.22,0,0,2,0,76.87
Graphic Design,2.08,75,4.89,67.73,1,0,0,0,71.93
Data Analysis,5.66,13,4.13,91.9,0,0,0,0,68.24
Digital Marketing,5.83,147,4.26,78.06,0,0,2,0,97.51
Web Development,6.66,190,3.37,90.38,0,0,2,0,126.32
Web Development,7.02,75,3.67,83.04,1,0,0,0,107.51
Data Analysis,8.12,51,3.28,51.89,0,0,2,0,85.42
Graphic Design,5.32,185,3.15,59.17,1,0,0,0,110.38
Web Development,5.17,69,4.71,50.22,1,0,0,0,92.52
Graphic Design,3.68,107,4.26,58.2,0,0,0,0,78.1
Graphic Design,7.87,87,3.42,59.79,1,0,0,0,102.57
Content Writing,3.82,176,3.7,61.56,1,0,5,0,117.6
Web Development,8.77,26,3.08,87.98,0,0,5,0,94.95
Graphic Design,0.24,1,0,0,0,4,12,1,19.51
Digital Marketing,9.27,143,4.3,92.19,0,0,0,0,125.44
Content Writing,3.02,12,4.8,96.57,0,0,2,0,62.9
Graphic Design,0.47,4,0,0,0,2,6,1,14.83
Digital Marketing,4.18,188,3.83,72.92,1,0,2,0,117.77
Digital Marketing,5.15,174,3.97,81.24,0,0,0,0,116.53
Data Analysis,8.15,17,4.34,75.68,0,0,0,0,86.05
Data Analysis,10,174,3.23,98.46,1,0,0,0,158.55
Digital Marketing,8.81,101,4.93,55.49,1,0,0,0,119.85
Content Writing,8.07,147,3.73,61.59,0,0,5,0,110.8
Graphic Design,7.14,37,4.67,63.78,1,0,2,0,87.43
Data Analysis,1.01,176,4.04,63.29,1,0,5,0,102.35
Data Analysis,7.57,90,4.34,84.91,1,0,2,0,112.51
Content Writing,0.34,5,0,0,0,4,13,1,25.29
Data Analysis,1.6,190,3.94,74.24,0,0,2,0,96.88
Digital Marketing,6.25,156,4.04,89.42,0,0,0,0,120.77
Data Analysis,3.56,166,4.34,99.22,0,0,2,0,108.03
Data Analysis,9.42,66,4.18,65.38,1,0,2,0,105.93
Data Analysis,2.62,128,4.62,59.44,1,0,0,0,95.8
Content Writing,0.58,90,3.83,79.36,1,0,2,0,69.91
Content Writing,3.94,150,4.2,83.55,0,0,5,0,101.89
Data Analysis,3.85,53,4.46,91.96,1,0,0,0,80.45
Content Writing,9.24,93,4.49,70.14,0,0,5,0,115.99
Digital Marketing,0.32,2,0,0,0,2,15,1,24.62
Web Development,7.23,149,3.34,67.2,1,0,0,0,121.17
Digital Marketing,0.12,4,0,0,0,5,8,1,25.07
Data Analysis,6.41,156,3.58,63.02,1,0,2,0,120.31
Data Analysis,4.81,188,4.56,68.31,1,0,5,0,128.53
Web Development,2.96,167,4.94,93.9,0,0,0,0,96.52
Digital Marketing,8.06,157,3.33,51.49,1,0,2,0,125.97
Data Analysis,5.79,97,4.21,85.25,1,0,2,0,101.64
Digital Marketing,6.07,128,4.79,83.35,0,0,5,0,102.18
Content Writing,0.37,5,0,0,0,5,8,1,24.89
Data Analysis,7.49,151,4.4,57.26,0,0,2,0,109.24
Web Development,0.36,1,0,0,0,1,13,1,16.15
